[ESP=00:06:32.988] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.13134765625, acc_y_g: 0.98779296875, acc_z_g: -0.09326171875, gyro_x_dps: 2.5609755516052246, gyro_y_dps: 7.134146690368652, gyro_z_dps: 2.9268293380737305}
[ESP=00:06:33.008] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.16748046875, acc_y_g: 0.98095703125, acc_z_g: -0.0732421875, gyro_x_dps: 4.329268455505371, gyro_y_dps: 1.2195122241973877, gyro_z_dps: 2.5609755516052246}
[ESP=00:06:33.028] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.1572265625, acc_y_g: 0.9755859375, acc_z_g: -0.11328125, gyro_x_dps: 1.6463414430618286, gyro_y_dps: 0.18292683362960815, gyro_z_dps: 1.402438998222351}
[ESP=00:06:33.048] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.16845703125, acc_y_g: 0.970703125, acc_z_g: -0.0908203125, gyro_x_dps: -0.6707317233085632, gyro_y_dps: 2.195122003555298, gyro_z_dps: 1.097561001777649}
[ESP=00:06:33.068] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.1513671875, acc_y_g: 0.98388671875, acc_z_g: -0.08154296875, gyro_x_dps: 1.3414634466171265, gyro_y_dps: 1.097561001777649, gyro_z_dps: -0.3048780560493469}
[ESP=00:06:33.088] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.1572265625, acc_y_g: 0.98681640625, acc_z_g: -0.08642578125, gyro_x_dps: 1.2195122241973877, gyro_y_dps: 0.12195122241973877, gyro_z_dps: 1.1585365533828735}
[ESP=00:06:33.108] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.162109375, acc_y_g: 0.9794921875, acc_z_g: -0.0927734375, gyro_x_dps: 1.1585365533828735, gyro_y_dps: 0.5487805008888245, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:33.128] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.1591796875, acc_y_g: 0.98046875, acc_z_g: -0.0908203125, gyro_x_dps: 0.18292683362960815, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.0}
[ESP=00:06:33.148] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.15625, acc_y_g: 0.98681640625, acc_z_g: -0.08642578125, gyro_x_dps: 0.3658536672592163, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:33.168] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15625, acc_y_g: 0.984375, acc_z_g: -0.0869140625, gyro_x_dps: 0.9146341681480408, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.3658536672592163}
[ESP=00:06:33.188] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15771484375, acc_y_g: 0.982421875, acc_z_g: -0.09033203125, gyro_x_dps: 0.9146341681480408, gyro_y_dps: 0.3048780560493469, gyro_z_dps: 0.4268292784690857}
[ESP=00:06:33.208] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.1591796875, acc_y_g: 0.98291015625, acc_z_g: -0.0908203125, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.3048780560493469, gyro_z_dps: 0.3658536672592163}
[ESP=00:06:33.228] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.158203125, acc_y_g: 0.984375, acc_z_g: -0.08837890625, gyro_x_dps: 0.4878048896789551, gyro_y_dps: 0.5487805008888245, gyro_z_dps: 0.12195122241973877}
[ESP=00:06:33.248] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.15673828125, acc_y_g: 0.9833984375, acc_z_g: -0.08740234375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:33.268] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.15673828125, acc_y_g: 0.9833984375, acc_z_g: -0.08740234375, gyro_x_dps: 0.8536585569381714, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:33.299] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.1591796875, acc_y_g: 0.9833984375, acc_z_g: -0.0888671875, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:33.319] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.158203125, acc_y_g: 0.98388671875, acc_z_g: -0.0869140625, gyro_x_dps: 0.4878048896789551, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:33.330] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.90999984741211, pressure_hpa: 955.27001953125}
[ESP=00:06:33.332] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.158203125, acc_y_g: 0.98388671875, acc_z_g: -0.0869140625, gyro_x_dps: 0.4878048896789551, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
